apollo_person_id,company_name,company_domain,contact_name,contact_title,category_norm,proxy_use_case,title_tier,proxy_relevance
663d978bd596a600012cfaff,360mediadirect,360mediadirect.com,Brian Kn***s,Chief Operations Officer,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
66edff6ecbc2f20001241350,360mediadirect,360mediadirect.com,Kelly Vu***h,Principal/Founder,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
65154c578c25c20001f6e22f,Inside Information,inside-info.com,Julie Cr***k,Chief Operating Officer,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
674ba9aad06cca000179e0e7,Brandvids Infotech Pvt Ltd,brandvids.co,Azhar Sa***d,Chief Executive Officer,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
54ab55a87468690564cc0103,"Ruvixx, Inc.",ruvixx.com,Ling Xi***o,Chief Executive Officer,Other / Unknown,Needs validation,A,HIGH
627bd60286b73600012124f1,"Ruvixx, Inc.",ruvixx.com,Renzo Do***a,"Cross-functional Manager - Anti-piracy, Recruitment & Product Development",Other / Unknown,Needs validation,D,HIGH
687276df0db6c60001d6ba6c,"Sports Innovation Lab, part of Genius Sports",sportsilab.com,Josh Wa***r,Chief Executive Officer,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
66f3f5c1131315000181182c,Wearebtr,btrmedia.com,Destaney Wi***n,CEO & Co-Founder,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
66fb5caaa8908c0001885f0d,Wearebtr,btrmedia.com,Alex Am***s,"Co-Founder, Chief Operating Officer",Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
5570a56f73696420e1ce1c00,Wearebtr,btrmedia.com,Laura Pa***n,"VP, Retail Media",Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),B,HIGH
5cef6a53f65125b0bf0e4ca8,Nomology,nomology.com,Brooke Ra***s,"Manager, Ad Operations",Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),D,HIGH
66ec5f1790d5ca0001ce59b8,Nomology,nomology.com,Erwann Ma***l,"VP, Media & Ad Operations",Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),B,HIGH
66fe8c9fee364500012e0b2f,Gain Dynamics,gaindynamics.com,Ramon Sa***n,CEO Gain Dynamics Group,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
6700df85aec4490001852c65,Heydrumline,heydrumline.com,Audrey Be***r,Co-founder and CEO,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
5ffae576b447820001d88b85,Measurable AI,measurable.ai,Gary Lau,CTO,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
606d98d22b8872000112116f,Measurable AI,measurable.ai,Charlie Sh***g,Co-Founder/CMO,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
54a6fb9d7468696b7f0f340a,Dappier,dappier.com,Krish Ar***y,"Co-Founder, CTO",SEO / SERP Data,SERP scraping / rank tracking,A,HIGH
54a2225d7468693825ddda0f,Dappier,dappier.com,Mark Ba***n,Chief Business Officer,SEO / SERP Data,SERP scraping / rank tracking,A,HIGH
60583f3089a4370001c2591b,Dappier,dappier.com,Akshay Ar***y,Head of Product,SEO / SERP Data,SERP scraping / rank tracking,C,HIGH
5b8671b4324d442072f6bab7,Overtone,overtone.ai,Philip Al***n,"Co-Founder, CEO",E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
66f717b9c180660001b8d3ec,Overtone,overtone.ai,Reagan Nu***y,Co-Founder,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
5ac967cba6da983f9056c52d,Overtone,overtone.ai,Christopher Br***n,Co-Founder,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
60159b64fe6cca000153d5c7,Xverum,xverum.com,Ori He***r,Chief Executive Officer,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
665bd92a4bf9d100014a6564,Xverum,xverum.com,Omri Ke***n,Co-Founder & CRO,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
66f16e7a17cde10001b18207,Mcgrawnow,mcgrawnow.com,Chip Mc***w,Chief Executive Officer,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
683abac37265910001d09fbf,"DataRank, Inc.",datarank.com,Alan Bo***e,CTO,SEO / SERP Data,SERP scraping / rank tracking,A,HIGH
66f647b739affd00012a40fc,"DataRank, Inc.",datarank.com,Ryan Ba***o,CEO,SEO / SERP Data,SERP scraping / rank tracking,A,HIGH
66ed0df673b0e700016eae97,"DataRank, Inc.",datarank.com,Justyn Ho***d,Founder/CEO > Exec Chairman,SEO / SERP Data,SERP scraping / rank tracking,A,HIGH
60b7751d923c43000147b2bc,PromptCloud,promptcloud.com,Prashant Ku***r,Founder,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
6362477885a0a10001deeb8c,PromptCloud,promptcloud.com,Natasha Go***s,Product Marketing Manager,E-commerce / Price Intelligence,Marketplace / retail price monitoring,D,HIGH
5e7c783fb9bf8200c2fd0237,PromptCloud,promptcloud.com,Vijay Kr***n,"Senior Marketing Manager (Digital, Product & Growth Marketing)",E-commerce / Price Intelligence,Marketplace / retail price monitoring,D,HIGH
645964c34a21dc00016915ba,Coresignal,coresignal.com,Laurynas Gr***s,Head of Product,E-commerce / Price Intelligence,Marketplace / retail price monitoring,C,HIGH
60b5301d59f3a10001aac995,Coresignal,coresignal.com,Lukas Ra***s,Principal Product Manager,E-commerce / Price Intelligence,Marketplace / retail price monitoring,D,HIGH
6113e409b3a1e10001f3ea88,Opoint,opoint.com,Rune Kl***d,CTO,Web Scraping / Data Extraction,Web crawling / data extraction at scale,A,HIGH
657abb80dd05610001eb9e2c,Opoint,opoint.com,Peter Fe***d,Chief Executive Officer,Web Scraping / Data Extraction,Web crawling / data extraction at scale,A,HIGH
59b2dafba6da98fea7f2537c,Salutarydata,salutarydata.com,Scott Go***n,CEO/General Partner,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
66f477933f3267000147047c,PredictHQ,predicthq.com,Campbell Br***n,CEO & Co-Founder,SEO / SERP Data,SERP scraping / rank tracking,A,HIGH
60488aecac8a150001682e34,PredictHQ,predicthq.com,Glen Al***r,Chief Operating Officer,SEO / SERP Data,SERP scraping / rank tracking,A,HIGH
54a5d4767468693b8c3b48ac,ScrapeLabs,scrapelabs.io,John Da***s,CEO,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
54a454f97468693442a6303f,Openwebninja API,openwebninja.com,Adam Be***n,Co-Founder / CTO,SEO / SERP Data,SERP scraping / rank tracking,A,HIGH
557023f27369647c29ba1700,Openwebninja API,openwebninja.com,Tzachi Ay***n,"CEO, Co-founder at OpenWeb Ninja",SEO / SERP Data,SERP scraping / rank tracking,A,HIGH
66ec338780c77b000189b692,Envestnet | Yodlee,yodlee.com,Ibrahim De***h,Chief Technology Officer (CTO),E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
66fd4039e421720001a63bc6,Envestnet | Yodlee,yodlee.com,Farouk Fe***i,Chief Executive Officer,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
5571514d7369642ccc508400,Envestnet | Yodlee,yodlee.com,Om De***h,Head of Data Science | Analytics & Products,E-commerce / Price Intelligence,Marketplace / retail price monitoring,C,HIGH
5636e990a6da980acd001c6d,Envestnet | Yodlee,yodlee.com,Juliana Ra***n,Product Manager,E-commerce / Price Intelligence,Marketplace / retail price monitoring,D,HIGH
6854fb5b5046310001d1d8b6,Datamam,datamam.com,George Ts***i,Chief Technology Officer,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
68d2134013e4c50001eff3f6,Datamam,datamam.com,Paata Do***e,Chief Operating Officer,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
66f13e733db2e7000179b363,Newscatcherapi,newscatcherapi.com,Artem Bu***a,CEO & Co-Founder,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
66f13f333db2e7000179cb9a,Newscatcherapi,newscatcherapi.com,Nastia Ri***l,COO,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
66f13e716397b90001e4981e,Newscatcherapi,newscatcherapi.com,Maksym Su***a,CTO & Co-Founder Related to Search Terms in Your Query,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
66f6d9588845b900018fe9ee,Techsalerator,techsalerator.com,Max Wa***a,Founder & CEO,SEO / SERP Data,SERP scraping / rank tracking,A,HIGH
54aaa1a8746869063075a10f,TTOBMA,ttobma.com,Vincent Be***r,Chief Technology Officer,SEO / SERP Data,SERP scraping / rank tracking,A,HIGH
66f2c22a8970e4000110d157,Meettie,revenueroll.com,Jonathan Ko***k,Chief Technology Officer and Co-Founder,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
57da3e52a6da984a9c325055,Meettie,revenueroll.com,Jonathan Ma***x,COO,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
55c0651f7369640fa3d9a200,"Retail Insights, LLC",retailinsightsllc.com,Bob Ca***a,CEO,E-commerce / Price Intelligence,Marketplace / retail price monitoring,A,HIGH
54a578ee74686938ac56ea97,ReportLinker,reportlinker.com,Karim Ca***i,VP of Engineering,Other / Unknown,Needs validation,B,HIGH
54a8abe7746869334a91d003,Acronym,acronym.com,Molly Pa***s,"Director, Programmatic Strategy",Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
54a948c57468692d1c771210,Acronym,acronym.com,Antonio Ll***s,Director of Digital Media,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
66fa41a1bd346c00013cc8f0,Reomnify,reomnify.com,Girish Go***e,"Co-Founder, CEO",SEO / SERP Data,SERP scraping / rank tracking,A,HIGH
61153f9ee5070500017e1eea,Datafeedwatch,datafeedwatch.com,Pawel Dy***k,Chief Technology Officer,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
68603993d73daa0001c88315,Veridooh,veridooh.com,Jeremy Ya***g,Co-founder/Co-CEO,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
66f15de1e0160600012d54ec,Veridooh,veridooh.com,Mo Mo***d,Co-Founder & Co-CEO,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),A,HIGH
66f3e9fc47398e0001f42a86,Who's Mailing What!,whosmailingwhat.com,Bradley Ku***r,Chief Executive Officer,Other / Unknown,Needs validation,A,HIGH
66ed3da4234695000187a660,AgencyAnalytics,agencyanalytics.com,Joe Ki***s,Chief Executive Officer,SEO / SERP Data,SERP scraping / rank tracking,A,HIGH
61114b13b0a3b90001cd038c,AgencyAnalytics,agencyanalytics.com,Paul St***n,Director of Content & Seo,SEO / SERP Data,SERP scraping / rank tracking,A,HIGH
54a3bc2f7468692abf8f410e,AgencyAnalytics,agencyanalytics.com,Oren Ga***r,Staff Product Manager,SEO / SERP Data,SERP scraping / rank tracking,D,HIGH
