Creator,Username,YouTube_Link,Subscribers,Description,Found_Via_Query,Rejection_Reason
Octoparse,@Octoparsewebscraping,https://www.youtube.com/@Octoparsewebscraping,0,About Octoparse: Octoparse is a no-code web scraping tool that aims to transform the way you gather data from the web. Visit our ...,web scraping tutorial; data scraping tools; scraping automation; no code web scraping; selenium web scraping advanced; web scraping tutorial español; web scraping tutoriel français; web scraping tutorial hindi,Already in existing database
Adrian | The Web Scraping Guy,@the-web-scraping-guy,https://www.youtube.com/@the-web-scraping-guy,0,I scrape with Node.js and show how here. Check out https://scrapecreators.com/ for all social media scraping API's ...,web scraping tutorial; API scraping tutorial; web scraping tutorial español,Already in existing database
ParseHub,@ParsehubApp,https://www.youtube.com/@ParsehubApp,0,ParseHub is an easy-to-learn visual data extraction tool that is both simple and friendly to use yet powerful and flexible. ParseHub ...,web scraping tutorial; web scraping tutorial español; web scraping tutoriel français,Already in existing database
John Watson Rooney,@JohnWatsonRooney,https://www.youtube.com/@JohnWatsonRooney,0,"Let's learn about Python, web scraping and API's!",web scraping tutorial; web scraping python; scrape website python; web scraping proxies; API scraping tutorial; playwright web scraping; selenium web scraping advanced; web scraping tutorial español; web scraping python español; web scraping Python deutsch,Already in existing database
Apify,@Apify,https://www.youtube.com/@Apify,0,"Welcome to Apify's official YouTube channel! Apify is a web scraping and automation platform, which lets you automate anything ...",web scraping tutorial; scraping automation; scraperapi tutorial; apify tutorial; API scraping tutorial; browser automation scraping; web scraping Python deutsch; automatisierung Python deutsch,Already in existing database
Frank Andrade,@thepycoachES,https://www.youtube.com/@thepycoachES,0,"En este canal subo tutoriales de Python para ayudarte a aprender data science, machine learning, web scraping, etc. En los ...",web scraping python; web scraping python español,Already in existing database
Nick Saraev,@nicksaraev,https://www.youtube.com/@nicksaraev,0,"Hi I'm Nick. I make money with AI tools like N8N, Claude Code, and Antigravity—and I teach others how they can too. I'm not ...",scraping automation; n8n automation tutorial; make.com automation tutorial,Already in existing database
Automation Step by Step,@RaghavPal,https://www.youtube.com/@RaghavPal,0,"Simple Basic Beginners Step-by-Step tutorials ❤️ I create videos on Automation, Testing, DevOps, CI and related tools, ...",python automation tutorial; playwright browser automation,Already in existing database
Automate with Rakesh,@AutomatewithRakesh,https://www.youtube.com/@AutomatewithRakesh,0,"Many subscribers have become RPA Developers, I am Rakesh, on my channel you will learn UIPATH and Python for beginners and ...",python automation tutorial; automatización web python; automação web python,Already in existing database
SDET- QA,@sdetpavan,https://www.youtube.com/@sdetpavan,0,"Welcome to the SDET-QA Channel! Hi, I'm Mr. Pavan, and I created this channel to share in-depth educational content on ...",python automation tutorial; playwright browser automation; automatización web python; automação web python,Already in existing database
Python Coding (CLCODING),@Pythonclcoding,https://www.youtube.com/@Pythonclcoding,0,"Welcome to CLCODING – Your Python Powerhouse! At CLCODING, we simplify Python programming for developers, students, ...",python automation tutorial; automatisierung Python deutsch,Already in existing database
PlanetNoCode,@planetnocode,https://www.youtube.com/@planetnocode,0,"Welcome to Planet No Code, the channel dedicated to empowering creators, entrepreneurs, and innovators with Bubble.io and ...",no code web scraping,Already in existing database
Oxylabs,@oxylabs,https://www.youtube.com/@oxylabs,0,Oxylabs is an industry-leading proxy and web scraping solution service fueled by strong business ethics and innovation. Our team ...,no code web scraping; scrape website python; web scraping proxies; proxy for web scraping; scraping proxies; proxies for SEO tutorial; ad verification proxy; proxies for ad verification; proxies for price monitoring; datacenter vs residential proxies; scraperapi tutorial; selenium web scraping advanced,Already in existing database
Andreas Spiess,@AndreasSpiess,https://www.youtube.com/@AndreasSpiess,0,"Small electronic projects, tutorials, and reviews for sensors, ESP8266, Arduino, Raspberry Pi, and ESP32.",proxies for price monitoring,Already in existing database
Nate Herk | AI Automation,@nateherk,https://www.youtube.com/@nateherk,0,"Hi I'm Nate Herk. I'm passionate about helping businesses unlock the power of AI Automations to save time, cut costs, and stay ...",apify tutorial; n8n automation tutorial; make.com automation tutorial,Already in existing database
Ahmad | AI Automation,@aiautomationkit,https://www.youtube.com/@aiautomationkit,0,"ABOUT ‍♂️ Hey everyone, my name is Ahmad, and I've always been passionate about building my own tools, but ...",apify tutorial; make.com automation tutorial,Already in existing database
Automation-Tribe,@automation-tribe,https://www.youtube.com/@automation-tribe,0,"Welcome to Automation-Tribe, your go-to destination for AI automation, no-code automation, and workflow optimization. Whether ...",social media automation tools; make.com automation tutorial,Already in existing database
Ansh Lamba,@AnshLambaJSR,https://www.youtube.com/@AnshLambaJSR,0,I help Data Engineers by sharing End-to-End Projects and Tutorials from SCRATCH. Let's grow together! This is YOUR ...,data engineering tutorial; ETL pipeline tutorial; data pipeline python,Already in existing database
Afaque Ahmad,@afaqueahmad7117,https://www.youtube.com/@afaqueahmad7117,0,"This channel was created out of my endeavor for teaching and simplifying complex data engineering concepts and, in doing so, ...",data engineering tutorial,Already in existing database
itversity,@itversity,https://www.youtube.com/@itversity,0,"Welcome to ITVersity – your comprehensive guide to mastering Data Engineering, Big Data, and the latest advancements in AI!",data engineering tutorial,Already in existing database
learn by doing it,@learnbydoingit,https://www.youtube.com/@learnbydoingit,0,"This is my YouTube channel where I explain various topics on Data analytics,Data Engineer, Azure Data engineering ,AWS data ...",data engineering tutorial,Already in existing database
OSINT Dojo,@OSINTDojo,https://www.youtube.com/@OSINTDojo,0,"This Youtube channel is where we will upload training content, including OSINT tools, methodology, and challenges to both ...",OSINT tools tutorial,Already in existing database
Bendobrown,@Bendobrown,https://www.youtube.com/@Bendobrown,0,"I make videos on maps, data & OSINT :] Hi, I'm Benjamin Strick, or just Ben. My aim is to provide helpful content on Open Source ...",OSINT tools tutorial,Already in existing database
CyberSudo,@CyberSudoYT,https://www.youtube.com/@CyberSudoYT,0,"Hey there, welcome to CyberSudo! I'm Saad Sarraj, and on this channel, we dive into OSINT and Cyber Security I'm ...",OSINT tools tutorial,Already in existing database
