company_name,domain,linkedin_url,category,tier,size,country,reseller_potential
9Proxy,9proxy.com,http://www.linkedin.com/company/9proxy,Residential Proxy Provider,Tier 2: Competitor / Reseller,Small-Medium,,Yes
Coronium,coronium.io,http://www.linkedin.com/company/coronium-io,Mobile Proxy Marketplace,Tier 2: Competitor / Reseller,Small,Lithuania,Yes
Geonix,geonix.com,http://www.linkedin.com/company/geonix-proxies,IPv4/IPv6/ISP/Mobile/Residential,Tier 2: Competitor / Reseller,Small-Medium,Bulgaria,Yes
NodeMaven,nodemaven.com,http://www.linkedin.com/company/nodemaven,Residential + Mobile Proxy,Tier 2: Competitor / Reseller,Small-Medium,,Yes
ProxyWing,proxywing.com,http://www.linkedin.com/company/proxywing,Proxy Provider,Tier 2: Competitor / Reseller,Small,United States,Yes
Proxidize,proxidize.com,http://www.linkedin.com/company/proxidize,Mobile Proxy Hardware+Software,Tier 2: Competitor / Reseller,Small-Medium,United Kingdom,Yes
Ziny Proxy,ziny.io,,Proxy Provider,Tier 2: Competitor / Reseller,Small,,Yes
Proxyjet,proxyjet.io,http://www.linkedin.com/company/proxyjet,Proxy Provider,Tier 2: Competitor / Reseller,Small,United States,Yes
Proxy Sell,proxysell.net,,Proxy Provider,Tier 2: Reseller Candidate,Small,,Yes
Proxy Rotator,proxyrotator.com,,Rotating Proxy Provider,Tier 2: Reseller Candidate,Small,,Yes
Proxy Key,proxykey.com,,Proxy Provider,Tier 2: Reseller Candidate,Small,us,Yes
Proxy N-vpn,proxy-n-vpn.com,,Proxy + VPN Provider,Tier 2: Reseller Candidate,Small,,Yes
Proxy Chimp,proxy-chimp.com,,Proxy Provider,Tier 2: Reseller Candidate,Small,,Yes
IPWAY,ipway.io,http://www.linkedin.com/company/ipway,DC + Residential Proxy,Tier 2: Competitor / Reseller,Small-Medium,United States,Yes
Hproxy,hproxy.com,,Proxy Provider,Tier 2: Competitor / Reseller,Small,,Yes
DynaProx,dynaprox.com,http://www.linkedin.com/company/dynaprox,Residential Proxy Provider,Tier 2: Competitor / Reseller,Small,,Yes
Proxy.Doctor,proxy.doctor,,Proxy Provider / Testing,Tier 2: Reseller Candidate,Small,,Yes
Proxy Servers Company,proxyservers.co,,Proxy Provider,Tier 2: Reseller Candidate,Small,,Yes
Proxy Spider,proxy-spider.com,http://www.linkedin.com/company/proxy-spider,Proxy Provider,Tier 2: Reseller Candidate,Small,,Yes
Proxy Styler,proxystyler.com,,Proxy Provider,Tier 2: Reseller Candidate,Small,,Yes
Proxy5,proxy5.net,,Proxy Provider,Tier 2: Reseller Candidate,Small,,Yes
Proxy001,proxy001.com,,Proxy Provider,Tier 2: Reseller Candidate,Small,,Yes
ProxyAZ,proxyaz.com,,Proxy Provider,Tier 2: Reseller Candidate,Small,,Yes
Proxyfactory,proxyfactory.com,,Proxy Provider,Tier 2: Reseller Candidate,Small,,Yes
Proxybrothers,proxybrothers.com,http://www.linkedin.com/company/proxybrothers,Proxy Provider,Tier 2: Reseller Candidate,Small,Germany,Yes
Proxybdix,proxybdix.com,,Proxy Provider,Tier 2: Reseller Candidate,Small,,Yes
